Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,307.2633293507212
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,380.5430359346968
0.46,373.57835257812326
0.47,370.1095258914352
0.48,364.18244391820576
0.49,357.0185190006308
0.5,355.21041462325564
0.51,355.81753519191307
0.52,361.3967131564365
0.53,368.79991880561295
0.54,373.9997306113026
0.55,374.95979495196906
0.56,374.3338953395677
0.57,372.5628449948015
0.58,369.579161909748
0.59,364.7321912765943
0.6,355.0302983849606
0.61,347.98946667150346
0.62,342.7469263246611
0.63,337.11514889005525
0.64,333.5172728660663
0.65,330.77252141360015
0.66,328.48107188551745
0.67,327.80356588408904
0.68,328.25629949277305
0.69,329.2026878524641
0.7,329.5351512662415
0.71,330.6556361417181
0.72,330.46030020513365
0.73,330.51600056552337
0.74,332.2167246396242
0.75,334.5823243287427
0.76,336.08384587845165
0.77,334.4020101317135
0.78,333.1714739562031
0.79,332.9784335320584
0.8,331.5129151980991
0.81,329.97020377899184
0.82,328.16840981060415
0.83,326.76604110628784
0.84,325.890493114983
0.85,325.0681850657316
0.86,324.95305012989934
0.87,325.2336649205206
0.88,324.9189424587547
0.89,324.55112851476747
0.9,321.63654541872484
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,329.7031083059162
1.25,326.15671062813044
1.26,321.0916327827102
1.27,316.31586121868776
1.28,313.5838730996942
1.29,311.12514976341816
1.3,307.34488409888064
1.31,302.9401016066257
1.32,298.3913311227087
1.33,287.87953735627946
1.34,281.5388911235632
1.35,279.83781223851145
1.36,281.80612607105473
1.37,290.2569812300234
1.38,303.72632836600235
1.39,nan
1.4,349.59811012466906
1.41,362.4813502504793
1.42,372.3563549883278
1.43,379.0370136564385
1.44,382.72431380839737
1.45,385.01894138244165
1.46,385.0492295162536
1.47,381.9928516601292
1.48,372.7724756083516
1.49,nan
1.5,345.7983580353542
1.51,335.7769269474033
1.52,324.8126243327531
1.53,317.443778406157
1.54,314.0243270101431
1.55,313.76781353298054
1.56,318.12397810503234
1.57,321.04899840419534
1.58,320.2138637276889
1.59,319.07886497912887
1.6,319.46590345502574
1.61,318.6625388559219
1.62,317.59681166448735
1.63,316.3124241288168
1.64,313.90179645511785
1.65,309.1774076335979
1.66,305.2639553363702
1.67,303.1653895459328
1.68,302.00091699836935
1.69,299.9705991052603
1.7,296.9748533500813
1.71,296.1017115958073
1.72,297.26032005636864
1.73,298.44252314511164
1.74,299.6909946077673
1.75,300.7307787870072
1.76,302.4823950702264
1.77,306.8573477879836
1.78,313.94161937061773
1.79,314.5037279221608
1.8,309.5919369050871
1.81,302.5702223234593
1.82,294.8125178617084
1.83,288.02124454373967
1.84,nan
1.85,nan
1.86,nan
1.87,295.97025644523643
1.88,291.3546227630179
1.89,291.86366690826054
1.9,294.4889459726488
1.91,296.52918880283426
1.92,297.21588510130795
1.93,296.67911057892604
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
