Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,237.77147510554383
0.41,nan
0.42,242.0270652947055
0.43,245.65441699430653
0.44,248.87533959251866
0.45,251.37199797213157
0.46,253.29069974799953
0.47,253.65627885053965
0.48,nan
0.49,253.2645008189349
0.5,252.95023566783172
0.51,252.92536909532515
0.52,252.17043971228998
0.53,249.91028091774737
0.54,247.44636900465247
0.55,245.37669247407408
0.56,nan
0.57,239.0451600950044
0.58,nan
0.59,235.59023062965096
0.6,234.86972407043993
0.61,234.18872669640768
0.62,233.2710343900824
0.63,232.9228557392329
0.64,233.08045845834928
0.65,234.3160220542182
0.66,236.19878295865928
0.67,238.55459259902602
0.68,240.7748914255159
0.69,242.72553849223476
0.7,243.6635635559422
0.71,244.90707739621877
0.72,245.92311241220156
0.73,246.5915380785856
0.74,247.0459865605882
0.75,246.90320695259442
0.76,246.598385111419
0.77,246.2402096262758
0.78,245.7011415601308
0.79,244.9554009066721
0.8,244.23485911818122
0.81,243.3307276413789
0.82,242.80990024443426
0.83,242.137840796727
0.84,241.7218790225537
0.85,241.0022901770948
0.86,238.7809070447421
0.87,235.7814423688864
0.88,236.35872750690757
0.89,nan
0.9,246.87656934282933
0.91,nan
0.92,nan
0.93,261.96948666699643
0.94,264.4600232165849
0.95,265.77951634470605
0.96,266.5928241747488
0.97,267.157910421352
0.98,268.18979044571773
0.99,nan
1.0,271.2121199391304
1.01,nan
1.02,nan
1.03,263.311572298375
1.04,256.7873852826449
1.05,248.673050571778
1.06,243.6137081704848
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,269.6101500640033
1.12,267.87171281072403
1.13,265.8370861700411
1.14,266.11674327904274
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,245.9826319371132
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,135.88925560302067
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,122.64407108134037
1.59,122.02010485887882
1.6,122.50737476547671
1.61,123.63225082699657
1.62,125.99365442102142
1.63,nan
1.64,133.21240987211053
1.65,134.07081412002626
1.66,134.1507853630916
1.67,132.4388811430088
1.68,130.48141636759277
1.69,127.999480700651
1.7,125.2713042636093
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,187.8258625580592
2.02,188.3958787074535
2.03,188.01272430160628
2.04,186.77462238138088
2.05,184.27436429683587
2.06,180.46545982848744
2.07,176.56705682021325
2.08,nan
2.09,nan
2.1,158.10446242587005
2.11,157.10405951568072
2.12,160.15975819757244
2.13,163.95234366629546
2.14,167.6049026668957
2.15,nan
2.16,183.84918091638409
2.17,190.00868377466227
2.18,195.120517357864
2.19,197.44223732855878
2.2,197.0281404007772
