Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,363.0258267468057
0.12,364.79829041378287
0.13,365.3618012711914
0.14,365.24062001111565
0.15,364.16600832789607
0.16,363.3747589716922
0.17,362.7990394980452
0.18,358.5162745394043
0.19,350.0291438111841
0.2,343.86474481592296
0.21,339.69454574596045
0.22,338.9249577794712
0.23,340.7640781935333
0.24,343.11711182321005
0.25,346.43490988749386
0.26,349.9558386358391
0.27,353.8743184784066
0.28,357.0163004293661
0.29,359.69939020267395
0.3,360.2800291828911
0.31,357.3743092614728
0.32,353.3485884546477
0.33,350.3552004007093
0.34,347.8627515435927
0.35,344.697483588492
0.36,340.2307846012678
0.37,336.72008924609514
0.38,334.9717022195067
0.39,335.3870408222699
0.4,338.9758648148463
0.41,344.7480146882885
0.42,348.2828472884571
0.43,352.13597127932275
0.44,355.28218915270656
0.45,357.8523196698821
0.46,358.9151932370029
0.47,356.89772795311654
0.48,353.2348431703298
0.49,349.57908397808245
0.5,347.2826652587241
0.51,345.24467418789663
0.52,343.80059002501577
0.53,343.54690517254284
0.54,344.77082445650046
0.55,346.6652759847532
0.56,347.6372857561759
0.57,348.3145351917394
0.58,348.0555076160748
0.59,347.232450290446
0.6,345.54740120387385
0.61,343.07640644842706
0.62,340.71020535490595
0.63,338.19490107704127
0.64,337.42096830172056
0.65,338.3127212776984
0.66,340.67605856733985
0.67,344.5766208699095
0.68,348.62294410969946
0.69,351.40559025513903
0.7,352.451239320211
0.71,352.1046951318938
0.72,350.33538297574853
0.73,348.3298063366421
0.74,343.6093557927313
0.75,338.01945610431505
0.76,331.75662207424074
0.77,326.1611441877091
0.78,324.4597909339524
0.79,324.55706254639085
0.8,325.9636337996707
0.81,326.72333239110594
0.82,327.34843434504086
0.83,328.0428028718036
0.84,328.3697242485628
0.85,328.4078738074239
0.86,327.6636440023014
0.87,327.17984826749284
0.88,326.8454704191281
0.89,326.2721237825481
0.9,325.4167491763168
0.91,323.9816223722408
0.92,320.9555484493271
0.93,319.29357508016307
0.94,317.8841603052295
0.95,317.6945144470886
0.96,318.32934989392135
0.97,319.067768130806
0.98,321.47142763995214
0.99,323.6255390146042
1.0,326.05889665029963
1.01,327.0182435810128
1.02,327.782232195166
1.03,328.31233755496635
1.04,328.76974871169494
1.05,328.7506429197848
1.06,327.9919491782249
1.07,326.62672743554145
1.08,325.2582700066122
1.09,321.04610736994226
1.1,316.59178579803773
1.11,314.0625694086576
1.12,312.85458133600287
1.13,313.6880635957888
1.14,317.15694250546954
1.15,323.6804938371853
1.16,326.76584701662284
1.17,327.7122225418117
1.18,nan
1.19,329.9952517704741
1.2,332.3537314208487
1.21,334.97806409250467
1.22,336.2647696600316
1.23,335.7129074016853
1.24,333.83331184929096
1.25,330.82652280781826
1.26,327.77791935001125
1.27,325.648093162065
1.28,nan
1.29,321.45218897221724
1.3,321.0746540767384
1.31,322.6207095964754
1.32,325.0260818922907
1.33,327.76745864180464
1.34,330.1168811084642
1.35,332.43823091968704
1.36,335.27889752757176
1.37,337.0240174866203
1.38,336.19243641485
1.39,334.53572452364426
1.4,331.4320677278148
1.41,328.4523093745697
1.42,325.69821083214947
1.43,321.65414689358505
1.44,318.5069152849064
1.45,317.1395582930773
1.46,319.4594007581864
1.47,323.7819874315926
1.48,325.9358932215889
1.49,326.3763207646372
1.5,326.79475537001764
1.51,nan
1.52,nan
1.53,nan
1.54,334.3238341837866
1.55,332.99644566000643
1.56,328.9580938901013
1.57,326.097312496261
1.58,324.15582002191024
1.59,321.3750809238877
1.6,319.2310428643894
1.61,nan
1.62,nan
1.63,nan
1.64,322.34415375820384
1.65,325.1773025548692
1.66,326.012074238281
1.67,325.9559633388397
1.68,325.54094456742644
1.69,324.35546886154583
1.7,321.90322524071007
1.71,319.1028633051395
1.72,317.09778685250063
1.73,315.1471664224624
1.74,315.2434469875094
1.75,316.2501080703756
